,Type_id,Strain_id
308,0,553
309,0,555
310,0,556
311,0,558
312,0,559
313,0,560
314,0,561
315,0,563
316,0,564
317,0,565
318,0,569
319,0,572
320,0,574
321,0,576
322,0,578
323,0,579
324,0,580
325,0,582
326,0,584
327,0,585
328,0,590
329,0,591
330,0,592
331,0,594
332,0,595
333,0,597
334,0,598
335,0,599
336,0,600
337,0,601
338,0,603
339,0,607
340,0,610
341,0,611
342,0,612
343,0,613
344,0,618
345,0,619
346,0,621
347,0,626
348,0,627
349,0,630
350,0,632
351,0,634
352,0,636
353,0,641
354,0,642
355,0,643
356,0,644
357,0,649
358,0,655
359,0,661
360,0,662
361,0,663
362,0,664
363,0,666
364,0,669
365,0,670
366,0,671
367,0,673
368,0,676
369,0,677
370,0,680
371,0,681
372,0,682
373,0,683
374,0,685
375,0,687
376,0,689
377,0,690
378,0,694
379,0,697
380,0,698
381,0,701
382,0,702
383,0,703
384,0,704
385,0,705
386,0,708
387,0,709
388,0,710
389,0,711
390,0,712
391,0,714
392,0,715
393,0,716
394,0,720
395,0,725
396,0,726
397,0,727
398,0,728
399,0,729
400,0,732
401,0,734
402,0,735
403,0,736
404,0,737
405,0,741
406,0,742
407,0,743
408,0,744
409,0,745
410,0,749
411,0,750
412,0,751
413,0,752
414,0,754
415,0,758
416,0,760
417,0,763
418,0,773
419,0,774
420,0,776
421,0,777
422,0,783
423,0,784
424,0,785
425,0,786
426,0,790
427,0,791
428,0,793
429,0,795
430,0,797
431,0,800
432,0,802
433,0,804
434,0,805
435,0,806
436,0,808
437,0,813
438,0,814
439,0,816
440,0,818
441,0,819
442,0,821
443,0,823
444,0,824
445,0,828
446,0,830
447,0,832
448,0,834
449,0,835
450,0,836
451,0,837
452,0,838
453,0,839
454,0,840
455,0,841
456,0,842
457,0,843
458,0,844
459,0,847
460,0,849
461,0,852
462,0,853
463,0,854
464,0,855
465,0,856
466,0,857
467,0,858
468,0,863
469,0,864
470,0,865
471,0,866
472,0,867
473,0,868
474,0,873
475,0,878
476,0,879
477,0,883
478,0,884
479,0,888
480,0,889
481,0,890
482,0,891
483,0,892
484,0,893
485,0,894
486,0,897
487,0,902
488,0,904
489,0,910
490,0,912
491,0,917
492,0,919
493,0,920
494,0,922
495,0,925
496,0,928
497,0,929
498,0,932
499,0,934
500,0,936
501,0,938
502,0,940
503,0,943
504,0,945
505,0,947
506,0,949
507,0,952
508,0,955
509,0,958
510,0,959
511,0,960
512,0,961
513,0,966
